,dayOfWeek_sin,dayOfWeek_cos,dayInYear_sin,dayInYear_cos,timeOfDay_sin,timeOfDay_cos,monthInYear_sin,monthInYear_cos,close,low,high,open,volume,ADA,EOS,SOL,TRX
2,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.816969893010442,-0.5766803221148672,-2.4492935982947064e-16,1.0,-0.050049599501455544,-0.3784623242107218,-0.2142899128718757,-0.45933265486177705,0.8667303301336051,0,0,1,0
3,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9422609221188204,-0.3348796121709864,-2.4492935982947064e-16,1.0,-0.20510064798206112,-0.2677583027501048,-0.21118784203666757,-0.2639807788351219,0.2928464794199698,1,0,0,0
3,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9422609221188204,-0.3348796121709864,-2.4492935982947064e-16,1.0,0.04658648853142155,-0.11139032123506701,0.01998965693318809,-0.07333475444178467,0.7641258274660184,0,0,1,0
3,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9422609221188204,-0.3348796121709864,-2.4492935982947064e-16,1.0,-0.44818965815089973,-0.4303195003795705,-0.4190145266751121,-0.48354120955862306,0.39142037035336047,0,0,0,1
3,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9422609221188204,-0.3348796121709864,-2.4492935982947064e-16,1.0,-0.20679831841618238,-0.24603780971126465,-0.209599101449046,-0.23551655437022853,0.16200020070068874,0,1,0,0
4,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9976687691905392,-0.06824241336467135,-2.4492935982947064e-16,1.0,-0.07648781382977686,-0.002578263528768603,0.04423065901829746,0.16449345612947783,-0.18130266679239715,0,0,1,0
4,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9976687691905392,-0.06824241336467135,-2.4492935982947064e-16,1.0,-0.16540529289526984,-0.07995451261761563,-0.09303795424587491,0.020881463108042942,-0.14894527130382232,1,0,0,0
4,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9976687691905392,-0.06824241336467135,-2.4492935982947064e-16,1.0,-0.42336280291765793,-0.32770183448189866,-0.4291876245728441,-0.34226424999886396,0.03706004012473175,0,0,0,1
4,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.9976687691905392,-0.06824241336467135,-2.4492935982947064e-16,1.0,-0.17844763900867908,-0.09182822022372857,-0.15104465256230692,-0.04178372946706303,-0.32566441847262406,0,1,0,0
5,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.979084087682323,0.2034560130526333,-2.4492935982947064e-16,1.0,-0.026323994566030143,-0.01021144359585606,-0.016321364360497286,-0.0866500874262413,-0.2781475338845458,0,0,1,0
5,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.979084087682323,0.2034560130526333,-2.4492935982947064e-16,1.0,-0.12800461487176387,-0.07867978378345848,-0.16312834101248433,-0.11238948014774681,-0.4006111071622813,0,1,0,0
5,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.979084087682323,0.2034560130526333,-2.4492935982947064e-16,1.0,-0.3827043942149978,-0.31272010557992735,-0.4373158909708377,-0.38475140650081663,-0.43345389223678377,0,0,0,1
